Temperature (K),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (Pa*s),Therm. Cond. (W/m*K),Phase
23,2,2.4679,0.4052,379.77,460.81,20.118,6.5747,13.347,369.66,1.5821,1.1484E-06,0.020962,vapor
24,2,2.3177,0.43146,387.57,473.86,20.674,6.472,12.788,381.71,1.4634,1.2092E-06,0.021533,vapor
25,2,2.1889,0.45685,395.08,486.44,21.187,6.4067,12.395,392.9,1.3627,1.2674E-06,0.02214,vapor
26,2,2.0765,0.48158,402.37,498.69,21.668,6.3642,12.105,403.42,1.276,1.3236E-06,0.022769,vapor
27,2,1.977,0.50581,409.51,510.68,22.12,6.3357,11.882,413.41,1.2001,1.3782E-06,0.023413,vapor
28,2,1.8881,0.52964,416.54,522.47,22.549,6.316,11.706,422.98,1.133,1.4313E-06,0.024066,vapor
29,2,1.8079,0.55314,423.47,534.1,22.957,6.3018,11.563,432.18,1.0729,1.4832E-06,0.024725,vapor
30,2,1.735,0.57636,430.33,545.6,23.347,6.2912,11.444,441.08,1.0188,1.5341E-06,0.025388,vapor
31,2,1.6685,0.59935,437.13,556.99,23.721,6.2829,11.344,449.7,0.96963,0.000001584,0.026053,vapor
32,2,1.6074,0.62213,443.87,568.29,24.079,6.2762,11.258,458.09,0.92465,0.000001633,0.026719,vapor
33,2,1.551,0.64474,450.57,579.51,24.425,6.2705,11.183,466.26,0.88332,1.6812E-06,0.027385,vapor
34,2,1.4988,0.6672,457.22,590.66,24.758,6.2655,11.117,474.23,0.84514,1.7287E-06,0.02805,vapor
35,2,1.4503,0.68952,463.85,601.75,25.079,6.2612,11.059,482.03,0.80975,1.7755E-06,0.028713,vapor
36,2,1.405,0.71172,470.44,612.78,25.39,6.2572,11.007,489.65,0.77682,1.8217E-06,0.029375,vapor
37,2,1.3627,0.73382,477,623.77,25.691,6.2537,10.961,497.13,0.74609,1.8673E-06,0.030034,vapor
38,2,1.3231,0.75581,483.54,634.71,25.982,6.2504,10.919,504.46,0.71734,1.9124E-06,0.030691,vapor
39,2,1.2858,0.77772,490.06,645.61,26.266,6.2475,10.882,511.66,0.69036,1.9569E-06,0.031346,vapor
40,2,1.2507,0.79955,496.56,656.47,26.541,6.245,10.848,518.72,0.66501,2.0009E-06,0.031998,vapor
41,2,1.2176,0.82131,503.04,667.31,26.808,6.2427,10.817,525.67,0.64112,2.0444E-06,0.032647,vapor
42,2,1.1862,0.843,509.51,678.11,27.069,6.2408,10.789,532.51,0.61857,2.0874E-06,0.033294,vapor
43,2,1.1566,0.86463,515.96,688.88,27.322,6.2392,10.763,539.23,0.59725,0.00000213,0.033937,vapor
44,2,1.1284,0.88621,522.39,699.64,27.569,6.2379,10.74,545.85,0.57707,2.1722E-06,0.034578,vapor
45,2,1.1016,0.90773,528.82,710.37,27.81,6.2371,10.719,552.37,0.55792,0.000002214,0.035216,vapor
46,2,1.0762,0.92921,535.23,721.07,28.046,6.2366,10.7,558.8,0.53974,2.2554E-06,0.035851,vapor
47,2,1.0519,0.95065,541.64,731.77,28.276,6.2365,10.683,565.13,0.52245,2.2964E-06,0.036483,vapor
48,2,1.0288,0.97204,548.03,742.44,28.5,6.2368,10.667,571.37,0.50598,2.3371E-06,0.037112,vapor
49,2,1.0066,0.9934,554.42,753.1,28.72,6.2376,10.653,577.53,0.49027,2.3774E-06,0.037739,vapor
50,2,0.98549,1.0147,560.8,763.75,28.935,6.2389,10.641,583.6,0.47528,2.4174E-06,0.038363,vapor
51,2,0.96524,1.036,567.18,774.38,29.146,6.2407,10.63,589.59,0.46096,0.000002457,0.038985,vapor
52,2,0.94583,1.0573,573.55,785.01,29.352,6.243,10.62,595.5,0.44725,2.4963E-06,0.039604,vapor
53,2,0.92721,1.0785,579.92,795.62,29.554,6.2458,10.612,601.34,0.43413,2.5353E-06,0.040221,vapor
54,2,0.90933,1.0997,586.29,806.23,29.753,6.2492,10.605,607.09,0.42155,0.000002574,0.040837,vapor
55,2,0.89215,1.1209,592.66,816.83,29.947,6.2532,10.599,612.77,0.40948,2.6124E-06,0.041449,vapor
56,2,0.87562,1.142,599.02,827.43,30.138,6.2578,10.594,618.38,0.39788,2.6505E-06,0.04206,vapor
57,2,0.85971,1.1632,605.39,838.02,30.326,6.263,10.591,623.92,0.38674,2.6884E-06,0.042669,vapor
58,2,0.84438,1.1843,611.75,848.61,30.51,6.2688,10.589,629.39,0.37602,0.000002726,0.043277,vapor
59,2,0.82961,1.2054,618.12,859.2,30.691,6.2753,10.588,634.79,0.3657,2.7633E-06,0.043883,vapor
60,2,0.81535,1.2265,624.49,869.79,30.869,6.2825,10.587,640.11,0.35575,2.8003E-06,0.044487,vapor
61,2,0.80158,1.2475,630.87,880.38,31.044,6.2903,10.589,645.38,0.34616,2.8372E-06,0.04509,vapor
62,2,0.78829,1.2686,637.25,890.97,31.216,6.2988,10.591,650.58,0.33691,2.8737E-06,0.045691,vapor
63,2,0.77543,1.2896,643.64,901.56,31.386,6.308,10.594,655.71,0.32798,2.9101E-06,0.046292,vapor
64,2,0.763,1.3106,650.03,912.15,31.552,6.318,10.598,660.78,0.31935,2.9462E-06,0.046891,vapor
65,2,0.75097,1.3316,656.43,922.75,31.717,6.3286,10.603,665.78,0.31101,0.000002982,0.04749,vapor
66,2,0.73931,1.3526,662.84,933.36,31.879,6.3399,10.609,670.73,0.30294,3.0177E-06,0.048088,vapor
67,2,0.72802,1.3736,669.26,943.97,32.038,6.352,10.616,675.61,0.29513,3.0531E-06,0.048685,vapor
68,2,0.71708,1.3945,675.68,954.59,32.196,6.3648,10.624,680.44,0.28757,3.0883E-06,0.049282,vapor
69,2,0.70647,1.4155,682.12,965.22,32.351,6.3782,10.633,685.2,0.28025,3.1234E-06,0.049878,vapor
70,2,0.69617,1.4364,688.57,975.86,32.504,6.3924,10.643,689.91,0.27315,3.1582E-06,0.050474,vapor
71,2,0.68617,1.4574,695.04,986.51,32.655,6.4073,10.654,694.56,0.26627,3.1928E-06,0.05107,vapor
72,2,0.67646,1.4783,701.51,997.17,32.804,6.4229,10.666,699.16,0.25959,3.2272E-06,0.051666,vapor
73,2,0.66702,1.4992,708,1007.8,32.951,6.4391,10.678,703.7,0.25311,3.2614E-06,0.052262,vapor
74,2,0.65785,1.5201,714.51,1018.5,33.097,6.4561,10.692,708.19,0.24683,3.2955E-06,0.052858,vapor
75,2,0.64893,1.541,721.03,1029.2,33.24,6.4737,10.706,712.63,0.24072,3.3294E-06,0.053454,vapor
76,2,0.64025,1.5619,727.56,1039.9,33.382,6.4919,10.721,717.01,0.23479,0.000003363,0.054051,vapor
77,2,0.63181,1.5828,734.11,1050.7,33.522,6.5108,10.737,721.35,0.22903,3.3965E-06,0.054648,vapor
78,2,0.62358,1.6036,740.69,1061.4,33.661,6.5303,10.753,725.63,0.22342,3.4299E-06,0.055246,vapor
79,2,0.61558,1.6245,747.27,1072.2,33.798,6.5504,10.771,729.87,0.21798,3.4631E-06,0.055844,vapor
80,2,0.60777,1.6454,753.88,1083,33.934,6.5711,10.789,734.06,0.21268,3.4961E-06,0.056444,vapor
81,2,0.60017,1.6662,760.51,1093.8,34.068,6.5923,10.807,738.21,0.20753,3.5289E-06,0.057044,vapor
82,2,0.59275,1.687,767.16,1104.6,34.201,6.6141,10.827,742.31,0.20252,3.5616E-06,0.057644,vapor
83,2,0.58552,1.7079,773.83,1115.4,34.332,6.6365,10.847,746.36,0.19764,3.5941E-06,0.058246,vapor
84,2,0.57846,1.7287,780.52,1126.3,34.462,6.6594,10.867,750.37,0.19289,3.6265E-06,0.058849,vapor
85,2,0.57158,1.7495,787.23,1137.1,34.591,6.6827,10.888,754.35,0.18827,3.6587E-06,0.059453,vapor
86,2,0.56485,1.7704,793.97,1148,34.718,6.7066,10.91,758.28,0.18376,3.6908E-06,0.060059,vapor
87,2,0.55829,1.7912,800.72,1159,34.844,6.7309,10.932,762.17,0.17938,3.7227E-06,0.060665,vapor
88,2,0.55188,1.812,807.51,1169.9,34.969,6.7556,10.955,766.02,0.1751,3.7545E-06,0.061273,vapor
89,2,0.54561,1.8328,814.31,1180.9,35.093,6.7808,10.978,769.84,0.17094,3.7862E-06,0.061882,vapor
90,2,0.53949,1.8536,821.14,1191.9,35.216,6.8063,11.002,773.62,0.16688,3.8177E-06,0.062493,vapor
91,2,0.5335,1.8744,827.99,1202.9,35.338,6.8322,11.026,777.36,0.16293,0.000003849,0.063105,vapor
92,2,0.52765,1.8952,834.87,1213.9,35.458,6.8585,11.051,781.07,0.15907,3.8803E-06,0.063718,vapor
93,2,0.52193,1.916,841.78,1225,35.578,6.8851,11.076,784.75,0.15531,3.9114E-06,0.064333,vapor
