Temperature (K),Pressure (MPa),Density (kg/m3)
270,30.77,850.5
270,25.61,847.9
270,20.66,845.3
270,15.93,842.8
270,11.31,840.3
270,6.06,837.3
270,4.92,836.6
270,3.74,835.9
270,2.52,835.2
270,1.32,834.4
270,0.083,833.7
290,31.57,838.3
290,25.59,835
290,20.65,832.2
290,15.97,829.5
290,11.24,826.6
290,5.97,823.5
290,4.78,822.5
290,3.6,821.7
290,2.42,821
290,0.083,819.4
310,31.93,825.8
310,25.57,822
310,20.76,819
310,16,816
310,11.2,812.7
310,5.76,808.8
310,4.67,808
310,3.5,807.1
310,2.3,806.1
310,1.72,805.7
310,0.083,804.4
330,31.64,812.2
330,25.59,808.2
330,20.81,804.9
330,16.08,801.5
330,11.18,797.9
330,5.77,793.7
330,4.59,792.8
330,3.41,791.8
330,2.26,790.9
330,1.12,789.9
330,0.54,789.4
330,0.083,737.1
350,32.1,799.8
350,25.63,795.3
350,20.88,791.7
350,16.08,788
350,11.11,784
350,5.6,779.2
350,4.48,778.2
350,3.28,777.1
350,2.21,776.1
350,1.1,775.1
350,0.56,774.6
350,0.083,774.1
370,31.93,787.1
370,25.7,782.4
370,20.96,778.6
370,16.11,774.5
370,11.02,769.9
370,5.49,764.6
370,4.35,763.5
370,3.23,762.3
370,2.16,761.2
370,1.09,760.1
370,0.59,759.5
370,0.083,759
390,31.81,774.6
390,25.74,769.5
390,21.01,765.4
390,16.08,760.8
390,10.88,755.6
390,5.41,749.8
390,4.28,748.5
390,3.24,747.3
390,2.16,746
390,1.26,744.9
390,0.66,744.2
390,0.083,743.5
410,31.75,762
410,25.84,756.6
410,21.03,752
410,16.04,746.9
410,10.78,741.1
410,5.33,734.5
410,4.28,733.2
410,3.21,731.8
410,2.19,730.4
410,1.19,729.1
410,0.083,727.6
430,31.66,749.3
430,25.87,743.6
430,21.04,738.6
430,15.97,732.8
430,10.65,726.3
430,5.3,719.1
430,4.26,717.5
430,3.26,716.1
430,2.24,714.5
430,1.27,713
430,0.083,711.1
450,31.67,736.8
450,25.93,730.6
450,21.03,725
450,15.9,718.6
450,10.57,711.3
450,5.32,703.2
450,4.33,701.6
450,3.33,699.9
450,2.35,698.2
450,1.34,696.4
450,0.083,694.1
470,31.63,724.4
470,26.01,717.9
470,20.98,711.5
470,15.85,704.4
470,10.52,696.2
470,5.39,687.3
470,4.39,685.4
470,3.4,683.5
470,2.41,681.5
470,1.43,679.5
470,0.083,676.6
