Temperature (K),Pressure (Mpa),Density (kg/m3)
270,25.606,848.05
270,20.663,845.45
270,15.925,842.88
270,11.308,840.33
270,6.061,837.34
270,4.923,836.67
270,3.742,835.97
270,2.518,835.23
270,1.319,834.5
290,31.57,838.62
290,25.59,835.32
290,20.646,832.51
290,15.967,829.77
290,11.244,826.91
290,5.974,823.62
290,4.779,822.84
290,3.597,822.07
290,2.423,821.3
310,31.934,826.25
310,25.572,822.48
310,20.758,819.48
310,16.002,816.47
310,11.259,813.25
310,5.758,809.31
310,4.674,808.51
310,3.5,807.64
310,2.304,806.68
310,1.72,806.26
330,31.638,812.73
330,25.593,808.76
330,20.805,805.48
330,16.082,802.16
330,11.178,798.57
330,5.765,794.42
330,4.589,793.49
330,3.413,792.51
330,2.261,791.6
330,1.117,790.66
330,0.541,790.17
330,31.638,812.73
330,25.593,808.76
330,20.805,805.48
330,16.082,802.16
330,11.178,798.57
330,5.765,794.42
330,4.589,793.49
330,3.413,792.51
330,2.261,791.6
330,1.117,790.66
330,0.541,790.17
330,31.754,812.44
330,25.641,808.49
330,20.858,805.25
330,16.096,801.93
330,11.218,798.35
330,5.762,794.14
330,4.609,793.21
330,3.479,792.29
330,2.315,791.32
330,1.147,790.36
330,0.599,789.91
350,32.101,800.44
350,25.629,795.91
350,20.879,792.4
350,16.081,788.74
350,11.105,784.74
350,5.598,780.05
350,3.281,777.97
350,2.206,776.98
350,1.095,775.96
350,0.555,775.45
370,31.929,787.77
370,25.704,783.1
370,20.96,779.32
370,16.114,775.28
370,11.021,770.78
370,5.488,765.55
370,4.354,764.42
370,3.228,763.26
370,2.162,762.17
370,1.09,761.05
370,0.589,760.53
390,31.808,775.21
390,25.736,770.24
390,21.012,766.14
390,16.082,761.61
390,10.876,756.53
390,5.41,750.78
390,4.277,749.52
390,3.239,748.33
390,2.163,747.09
390,1.255,746.02
390,0.659,745.28
410,31.747,762.63
410,25.841,757.38
410,21.034,752.82
410,16.035,747.76
410,10.778,742.08
410,5.328,735.65
410,4.28,734.33
410,3.214,732.96
410,2.188,731.62
410,1.192,730.3
430,31.659,749.98
430,25.868,744.41
430,21.038,739.44
430,15.97,733.81
430,10.651,727.39
430,5.308,720.29
430,4.261,718.79
430,3.256,717.32
430,2.238,715.8
430,1.268,714.32
450,31.665,737.5
450,25.929,731.48
450,21.027,725.93
450,15.895,719.64
450,10.572,712.47
450,5.322,704.58
450,4.325,702.96
450,3.33,701.3
450,2.348,699.62
450,1.337,697.84
470,31.633,725.24
470,26.007,718.83
470,20.979,712.57
470,15.846,705.6
470,10.523,697.56
470,5.39,688.79
470,4.388,686.91
470,3.404,685.03
470,2.407,683.05
470,1.434,681.07
