Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
23.000	2.0000	2.4679	0.40520	379.77	460.81	20.118	6.5747	13.347	369.66	1.5821	1.1484e-06	0.020962	vapor
24.000	2.0000	2.3177	0.43146	387.57	473.86	20.674	6.4720	12.788	381.71	1.4634	1.2092e-06	0.021533	vapor
25.000	2.0000	2.1889	0.45685	395.08	486.44	21.187	6.4067	12.395	392.90	1.3627	1.2674e-06	0.022140	vapor
26.000	2.0000	2.0765	0.48158	402.37	498.69	21.668	6.3642	12.105	403.42	1.2760	1.3236e-06	0.022769	vapor
27.000	2.0000	1.9770	0.50581	409.51	510.68	22.120	6.3357	11.882	413.41	1.2001	1.3782e-06	0.023413	vapor
28.000	2.0000	1.8881	0.52964	416.54	522.47	22.549	6.3160	11.706	422.98	1.1330	1.4313e-06	0.024066	vapor
29.000	2.0000	1.8079	0.55314	423.47	534.10	22.957	6.3018	11.563	432.18	1.0729	1.4832e-06	0.024725	vapor
30.000	2.0000	1.7350	0.57636	430.33	545.60	23.347	6.2912	11.444	441.08	1.0188	1.5341e-06	0.025388	vapor
31.000	2.0000	1.6685	0.59935	437.13	556.99	23.721	6.2829	11.344	449.70	0.96963	1.5840e-06	0.026053	vapor
32.000	2.0000	1.6074	0.62213	443.87	568.29	24.079	6.2762	11.258	458.09	0.92465	1.6330e-06	0.026719	vapor
33.000	2.0000	1.5510	0.64474	450.57	579.51	24.425	6.2705	11.183	466.26	0.88332	1.6812e-06	0.027385	vapor
34.000	2.0000	1.4988	0.66720	457.22	590.66	24.758	6.2655	11.117	474.23	0.84514	1.7287e-06	0.028050	vapor
35.000	2.0000	1.4503	0.68952	463.85	601.75	25.079	6.2612	11.059	482.03	0.80975	1.7755e-06	0.028713	vapor
36.000	2.0000	1.4050	0.71172	470.44	612.78	25.390	6.2572	11.007	489.65	0.77682	1.8217e-06	0.029375	vapor
37.000	2.0000	1.3627	0.73382	477.00	623.77	25.691	6.2537	10.961	497.13	0.74609	1.8673e-06	0.030034	vapor
38.000	2.0000	1.3231	0.75581	483.54	634.71	25.982	6.2504	10.919	504.46	0.71734	1.9124e-06	0.030691	vapor
39.000	2.0000	1.2858	0.77772	490.06	645.61	26.266	6.2475	10.882	511.66	0.69036	1.9569e-06	0.031346	vapor
40.000	2.0000	1.2507	0.79955	496.56	656.47	26.541	6.2450	10.848	518.72	0.66501	2.0009e-06	0.031998	vapor
41.000	2.0000	1.2176	0.82131	503.04	667.31	26.808	6.2427	10.817	525.67	0.64112	2.0444e-06	0.032647	vapor
42.000	2.0000	1.1862	0.84300	509.51	678.11	27.069	6.2408	10.789	532.51	0.61857	2.0874e-06	0.033294	vapor
43.000	2.0000	1.1566	0.86463	515.96	688.88	27.322	6.2392	10.763	539.23	0.59725	2.1300e-06	0.033937	vapor
44.000	2.0000	1.1284	0.88621	522.39	699.64	27.569	6.2379	10.740	545.85	0.57707	2.1722e-06	0.034578	vapor
45.000	2.0000	1.1016	0.90773	528.82	710.37	27.810	6.2371	10.719	552.37	0.55792	2.2140e-06	0.035216	vapor
46.000	2.0000	1.0762	0.92921	535.23	721.07	28.046	6.2366	10.700	558.80	0.53974	2.2554e-06	0.035851	vapor
47.000	2.0000	1.0519	0.95065	541.64	731.77	28.276	6.2365	10.683	565.13	0.52245	2.2964e-06	0.036483	vapor
48.000	2.0000	1.0288	0.97204	548.03	742.44	28.500	6.2368	10.667	571.37	0.50598	2.3371e-06	0.037112	vapor
49.000	2.0000	1.0066	0.99340	554.42	753.10	28.720	6.2376	10.653	577.53	0.49027	2.3774e-06	0.037739	vapor
50.000	2.0000	0.98549	1.0147	560.80	763.75	28.935	6.2389	10.641	583.60	0.47528	2.4174e-06	0.038363	vapor
51.000	2.0000	0.96524	1.0360	567.18	774.38	29.146	6.2407	10.630	589.59	0.46096	2.4570e-06	0.038985	vapor
52.000	2.0000	0.94583	1.0573	573.55	785.01	29.352	6.2430	10.620	595.50	0.44725	2.4963e-06	0.039604	vapor
53.000	2.0000	0.92721	1.0785	579.92	795.62	29.554	6.2458	10.612	601.34	0.43413	2.5353e-06	0.040221	vapor
54.000	2.0000	0.90933	1.0997	586.29	806.23	29.753	6.2492	10.605	607.09	0.42155	2.5740e-06	0.040837	vapor
55.000	2.0000	0.89215	1.1209	592.66	816.83	29.947	6.2532	10.599	612.77	0.40948	2.6124e-06	0.041449	vapor
56.000	2.0000	0.87562	1.1420	599.02	827.43	30.138	6.2578	10.594	618.38	0.39788	2.6505e-06	0.042060	vapor
57.000	2.0000	0.85971	1.1632	605.39	838.02	30.326	6.2630	10.591	623.92	0.38674	2.6884e-06	0.042669	vapor
58.000	2.0000	0.84438	1.1843	611.75	848.61	30.510	6.2688	10.589	629.39	0.37602	2.7260e-06	0.043277	vapor
59.000	2.0000	0.82961	1.2054	618.12	859.20	30.691	6.2753	10.588	634.79	0.36570	2.7633e-06	0.043883	vapor
60.000	2.0000	0.81535	1.2265	624.49	869.79	30.869	6.2825	10.587	640.11	0.35575	2.8003e-06	0.044487	vapor
61.000	2.0000	0.80158	1.2475	630.87	880.38	31.044	6.2903	10.589	645.38	0.34616	2.8372e-06	0.045090	vapor
62.000	2.0000	0.78829	1.2686	637.25	890.97	31.216	6.2988	10.591	650.58	0.33691	2.8737e-06	0.045691	vapor
63.000	2.0000	0.77543	1.2896	643.64	901.56	31.386	6.3080	10.594	655.71	0.32798	2.9101e-06	0.046292	vapor
64.000	2.0000	0.76300	1.3106	650.03	912.15	31.552	6.3180	10.598	660.78	0.31935	2.9462e-06	0.046891	vapor
65.000	2.0000	0.75097	1.3316	656.43	922.75	31.717	6.3286	10.603	665.78	0.31101	2.9820e-06	0.047490	vapor
66.000	2.0000	0.73931	1.3526	662.84	933.36	31.879	6.3399	10.609	670.73	0.30294	3.0177e-06	0.048088	vapor
67.000	2.0000	0.72802	1.3736	669.26	943.97	32.038	6.3520	10.616	675.61	0.29513	3.0531e-06	0.048685	vapor
68.000	2.0000	0.71708	1.3945	675.68	954.59	32.196	6.3648	10.624	680.44	0.28757	3.0883e-06	0.049282	vapor
69.000	2.0000	0.70647	1.4155	682.12	965.22	32.351	6.3782	10.633	685.20	0.28025	3.1234e-06	0.049878	vapor
70.000	2.0000	0.69617	1.4364	688.57	975.86	32.504	6.3924	10.643	689.91	0.27315	3.1582e-06	0.050474	vapor
71.000	2.0000	0.68617	1.4574	695.04	986.51	32.655	6.4073	10.654	694.56	0.26627	3.1928e-06	0.051070	vapor
72.000	2.0000	0.67646	1.4783	701.51	997.17	32.804	6.4229	10.666	699.16	0.25959	3.2272e-06	0.051666	vapor
73.000	2.0000	0.66702	1.4992	708.00	1007.8	32.951	6.4391	10.678	703.70	0.25311	3.2614e-06	0.052262	vapor
74.000	2.0000	0.65785	1.5201	714.51	1018.5	33.097	6.4561	10.692	708.19	0.24683	3.2955e-06	0.052858	vapor
75.000	2.0000	0.64893	1.5410	721.03	1029.2	33.240	6.4737	10.706	712.63	0.24072	3.3294e-06	0.053454	vapor
76.000	2.0000	0.64025	1.5619	727.56	1039.9	33.382	6.4919	10.721	717.01	0.23479	3.3630e-06	0.054051	vapor
77.000	2.0000	0.63181	1.5828	734.11	1050.7	33.522	6.5108	10.737	721.35	0.22903	3.3965e-06	0.054648	vapor
78.000	2.0000	0.62358	1.6036	740.69	1061.4	33.661	6.5303	10.753	725.63	0.22342	3.4299e-06	0.055246	vapor
