Variable,Einheit,Schrittweite,dP_mfp/P_mfp [%],dP_r/P_r [%],dQ/Q [%]
Q_fohe,kW,-7950.0,0.05922282301093803,0.0597604781875313,0.05901305966111535
tpr_fohe,-,-0.0024999999999999467,0.2150229734881948,0.402533191023549,-0.1956954165612849
tpr_phc,-,-0.0010000000000000009,0.0832780388406424,0.15630018642356325,-0.07595394711215667
eta_r,-,-0.039999999999999925,-0.028613460845466225,3.331737204610567,-1.339633824673784
eta_hpfp,-,-0.039999999999999925,5.958626607877116,-1.008012971022524,-0.5210525395852927
qm_cb0,kg/s,0.0050000000000000044,4.600142527639093,4.600625578105188,4.599954068030941
dp_l,kPa,13.0,0.6015493622981344,1.1173149546125611,-0.5439259925895079
dp_inj,kPa,8.445,0.39104982875051075,0.7292864772813985,-0.35477942548064334
tpr_vhp,-,-0.020000000000000018,1.6551397644394519,3.015225060845728,-1.472883838098615
tpr_vlp,-,-0.010000000000000009,0.7990847019075376,-0.13518831868042264,-0.06987253296328477
