Temperature (K),Pressure (MPa),"Density (l, kg/m3)","Volume (l, m3/kg)","Internal Energy (l, kJ/kg)","Enthalpy (l, kJ/kg)","Entropy (l, J/g*K)","Cv (l, J/g*K)","Cp (l, J/g*K)","Sound Spd. (l, m/s)","Joule-Thomson (l, K/MPa)","Viscosity (l, Pa*s)","Therm. Cond. (l, W/m*K)","Surf. Tension (l, N/m)","Density (v, kg/m3)","Volume (v, m3/kg)","Internal Energy (v, kJ/kg)","Enthalpy (v, kJ/kg)","Entropy (v, J/g*K)","Cv (v, J/g*K)","Cp (v, J/g*K)","Sound Spd. (v, m/s)","Joule-Thomson (v, K/MPa)","Viscosity (v, Pa*s)","Therm. Cond. (v, W/m*K)"
18.195,0.05,73.18,0.013665,-21.193,-20.51,-1.0267,5.513,8.6689,1175.5,-1.1734,0.000016288,0.10268,0.002289,0.70819,1.412,364.39,434.99,24.008,6.3756,11.323,342.66,20.815,8.7664E-07,0.014898
18.717,0.06,72.646,0.013765,-16.647,-15.821,-0.78007,5.5503,8.9156,1162.7,-1.1216,0.000015538,0.10302,0.0021981,0.83295,1.2006,366.57,438.6,23.499,6.3908,11.466,346.25,20.141,9.0513E-07,0.015483
19.178,0.07,72.161,0.013858,-12.524,-11.554,-0.56214,5.5822,9.1425,1151,-1.0754,0.00001492,0.10328,0.0021178,0.95579,1.0463,368.4,441.64,23.068,6.4053,11.607,349.27,19.584,9.3043E-07,0.016015
19.594,0.08,71.712,0.013945,-8.7254,-7.6098,-0.36587,5.6101,9.3547,1140.1,-1.0333,0.000014395,0.10347,0.0020457,1.0771,0.92839,369.97,444.24,22.694,6.4194,11.745,351.87,19.108,9.5333E-07,0.016505
19.974,0.09,71.294,0.014026,-5.1855,-3.9231,-0.18659,5.6352,9.5556,1129.8,-0.99446,0.00001394,0.1036,0.0019799,1.1973,0.83523,371.32,446.49,22.363,6.4333,11.882,354.15,18.693,9.7434E-07,0.016964
20.324,0.1,70.899,0.014105,-1.8572,-0.44679,-0.02104,5.658,9.7476,1120.1,-0.95816,0.00001354,0.1037,0.0019193,1.3164,0.75962,372.5,448.47,22.066,6.4471,12.018,356.17,18.325,9.9384E-07,0.017396
20.65,0.11,70.524,0.014179,1.2941,2.8539,0.13316,5.6791,9.9324,1110.9,-0.92394,0.000013183,0.10377,0.0018631,1.4348,0.69695,373.55,450.21,21.797,6.4609,12.155,357.98,17.994,1.0121E-06,0.017806
20.956,0.12,70.167,0.014252,4.2951,6.0053,0.27782,5.6987,10.111,1102,-0.89144,0.000012861,0.10381,0.0018105,1.5526,0.6441,374.47,451.76,21.549,6.4748,12.291,359.61,17.693,1.0293E-06,0.018199
21.243,0.13,69.824,0.014322,7.1663,9.0281,0.41431,5.717,10.285,1093.5,-0.86039,0.000012568,0.10382,0.001761,1.6698,0.59889,375.3,453.15,21.321,6.4886,12.428,361.08,17.417,1.0456E-06,0.018576
21.516,0.14,69.494,0.01439,9.9244,11.939,0.54375,5.7343,10.455,1085.3,-0.83057,0.0000123,0.10382,0.0017143,1.7866,0.55974,376.03,454.39,21.108,6.5025,12.565,362.43,17.162,1.0611E-06,0.018939
