Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
33.500	30.000	56.571	0.017677	138.25	191.29	5.4286	6.3975	18.195	856.19	0.023149	7.0301e-06	0.10033	supercritical
34.500	30.000	54.368	0.018393	155.13	210.31	5.9881	6.4467	19.917	812.88	0.043776	6.5722e-06	0.098097	supercritical
35.500	30.000	51.909	0.019264	173.46	231.25	6.5862	6.5044	22.031	767.44	0.068243	6.1175e-06	0.095506	supercritical
36.500	30.000	49.145	0.020348	193.48	254.53	7.2327	6.5749	24.600	720.69	0.097359	5.6636e-06	0.092500	supercritical
37.500	30.000	46.040	0.021720	215.42	280.58	7.9367	6.6613	27.546	674.51	0.13152	5.2127e-06	0.089032	supercritical
38.500	30.000	42.618	0.023464	239.21	309.61	8.7004	6.7599	30.439	632.37	0.16990	4.7758e-06	0.085103	supercritical
39.500	30.000	39.018	0.025629	264.27	341.16	9.5093	6.8538	32.429	598.50	0.20967	4.3754e-06	0.080812	supercritical
40.500	30.000	35.495	0.028173	289.39	373.91	10.328	6.9177	32.785	575.53	0.24677	4.0362e-06	0.076406	supercritical
41.500	30.000	32.297	0.030962	313.31	406.19	11.116	6.9377	31.566	562.76	0.27778	3.7712e-06	0.072228	supercritical
42.500	30.000	29.548	0.033843	335.22	436.74	11.843	6.9205	29.449	557.52	0.30114	3.5758e-06	0.068568	supercritical
43.500	30.000	27.248	0.036699	354.93	465.02	12.501	6.8825	27.118	557.16	0.31702	3.4365e-06	0.065554	supercritical
44.500	30.000	25.335	0.039471	372.63	491.04	13.092	6.8370	24.961	559.74	0.32664	3.3388e-06	0.063171	supercritical
45.500	30.000	23.733	0.042135	388.65	515.05	13.626	6.7920	23.113	564.08	0.33146	3.2709e-06	0.061327	supercritical
46.500	30.000	22.375	0.044692	403.30	537.37	14.111	6.7506	21.576	569.45	0.33281	3.2244e-06	0.059917	supercritical
47.500	30.000	21.209	0.047149	416.85	558.29	14.557	6.7141	20.308	575.44	0.33168	3.1935e-06	0.058839	supercritical
48.500	30.000	20.195	0.049517	429.51	578.06	14.968	6.6824	19.259	581.78	0.32884	3.1741e-06	0.058007	supercritical
49.500	30.000	19.303	0.051806	441.45	596.87	15.352	6.6551	18.384	588.32	0.32481	3.1634e-06	0.057300	supercritical
50.500	30.000	18.510	0.054026	452.80	614.88	15.713	6.6317	17.649	594.94	0.31997	3.1594e-06	0.056851	supercritical
51.500	30.000	17.798	0.056185	463.65	632.20	16.052	6.6117	17.024	601.60	0.31459	3.1607e-06	0.056701	supercritical
52.500	30.000	17.156	0.058290	474.08	648.95	16.374	6.5946	16.489	608.24	0.30885	3.1661e-06	0.056634	supercritical
53.500	30.000	16.571	0.060347	484.16	665.21	16.681	6.5801	16.026	614.83	0.30290	3.1749e-06	0.056636	supercritical
54.500	30.000	16.035	0.062362	493.94	681.02	16.974	6.5680	15.622	621.36	0.29682	3.1865e-06	0.056696	supercritical
55.500	30.000	15.543	0.064339	503.45	696.47	17.255	6.5579	15.268	627.82	0.29069	3.2003e-06	0.056804	supercritical
56.500	30.000	15.087	0.066281	512.73	711.57	17.525	6.5496	14.955	634.19	0.28455	3.2160e-06	0.056955	supercritical
57.500	30.000	14.664	0.068192	521.81	726.39	17.785	6.5430	14.678	640.47	0.27845	3.2333e-06	0.057141	supercritical
